Cash                                                              ,Positive
Cash Dividend                                             ,Positive
increased cash dividend                             ,Postive
decreased cash dividend                            ,Negative
Stock                                                              ,Positive
Stock Dividend                                             ,Positive
increased stock dividend                            ,Positive
decreased stock dividend                           ,Negative
directors has recommended                        ,Positive
No price limit                                                 ,Positive
spot market                                                    ,Positive
meeting                                                           ,Neutral
remain suspended                                         ,Negative
recommended                                                ,Positive
allotment of industrial land                          ,Positive
receive the dividend                                     ,Positive
Q1                                                                    ,Neutral
Q2                                                                    ,Neutral
Q3                                                                    ,Neutral
"joint venture agreement	            ",Positive
increase authorised capital                          ,Positive
a signing ceremony                                      ,Positive
"unusual price hike		      ",Negative
confiscate                                                       ,Negative
conflict                                                            ,Negative
curtail                                                              ,Negative
price decline                                                   ,Negative
decline price                                                   ,Negative
stock decline                                                  ,Negative
decline stock                                                  ,Negative
abandoned ,Negative
accident ,Negative
accuse,Negative
adverse,Negative
allegation ,Negative
anomalies,Negative
bankrupt,Negative
boycott,Negative
breach,Negative
cancel deposit,Negative
caution ,Negative
cease,Negative
claim,Neutral
closure,Neutral
complain ,Negative
concealed,Negative
concern,Neutral
after record date,Negative
worse,Negative
weak capital,Negative
warning,Negative
vulnerable ,Negative
volatile,Negative
violate law,Negative
violation,Negative
upset,Negative
unsure,Negative
unsafe,Negative
unfit,Negative
unfeasible,Negative
unethical,Negative
unavoidable,Negative
underestimate,Negative
unable,Negative
threatened,Negative
tragedy,Negative
threat,Negative
tense,Negative
terminate,Negative
suspicious,Negative
suspend,Negative
slow,Negative
shutdown,Negative
shortage,Negative
risky,Negative
resign,Negative
refuse,Negative
reject,Negative
quit,Negative
provoke,Negative
problem,Negative
premature share,Negative
premature,Negative
misconduct,Negative
mislead,Negative
manipulation,Negative
malfunction,Negative
ignore,Negative
halt,Negative
fined,Negative
dissatisfied,Negative
accomplished,Positive
achieve,Positive
achievement,Positive
advance,Positive
advantage,Positive
alliance,Positive
attractive benefits,Positive
spot market settlement                                         ,Positive
collaborate,Positive
collaboration,Positive
amalgate,Positive
effective management,Positive
exclusive offer,Positive
impressive,Positive
impress,Positive
innovate,Positive
satisfactory,Positive
loyal,Positive
optimistic,Positive
lucrative,Positive
please,Positive
perfect,Positive
profit,Positive
progress,Positive
regain,Positive
reward,Positive
stable,Positive
transparent,Positive
worthy,Positive
